"crime_id","crime_name","case_id"
"7032","贩卖毒品罪","3514"
"7033","贩卖毒品罪","3515"
"7034","贩卖毒品罪","3516"
"7035","贩卖毒品罪","3517"
"7036","贩卖毒品罪","3518"
"7037","容留他人吸毒罪","3518"
"7038","贩卖毒品罪","3519"
"7039","贩卖毒品罪","3520"
"7040","贩卖毒品罪","3521"
"7041","贩卖毒品罪","3522"
"7042","贩卖毒品罪","3523"
"7043","贩卖毒品罪","3524"
"7044","贩卖毒品罪","3525"
"7045","贩卖毒品罪","3526"
"7046","贩卖毒品罪","3527"
"7047","贩卖毒品罪","3528"
"7048","贩卖毒品罪","3529"
"7049","贩卖毒品罪","3530"
"7050","贩卖毒品罪","3531"
"7051","贩卖毒品罪","3532"
"7052","贩卖毒品罪","3533"
"7053","贩卖毒品罪","3534"
"7054","贩卖毒品罪","3535"
"7055","贩卖毒品罪","3536"
"7056","贩卖毒品罪","3537"
"7057","贩卖毒品罪","3538"
"7058","贩卖毒品罪","3539"
"7059","盗窃罪","3539"
"7060","贩卖毒品罪","3540"
"7061","贩卖毒品罪","3541"
"7062","贩卖毒品罪","3542"
"7063","贩卖毒品罪","3543"
"7064","贩卖毒品罪","3544"
"7065","贩卖毒品罪","3545"
"7066","贩卖毒品罪","3546"
"7067","贩卖毒品罪","3547"
"7068","贩卖毒品罪","3548"
"7069","贩卖毒品罪","3549"
"7070","贩卖毒品罪","3550"
"7071","贩卖毒品罪","3551"
"7072","贩卖毒品罪","3552"
"7073","贩卖毒品罪","3553"
"7074","贩卖毒品罪","3554"
"7075","贩卖毒品罪","3555"
"7076","贩卖毒品罪","3556"
"7077","贩卖毒品罪","3557"
"7078","贩卖毒品罪","3558"
"7079","贩卖毒品罪","3559"
"7080","贩卖毒品罪","3560"
"7081","贩卖毒品罪","3561"
"7082","贩卖毒品罪","3562"
"7083","贩卖毒品罪","3563"
"7084","贩卖毒品罪","3564"
"7085","贩卖毒品罪","3565"
"7086","贩卖毒品罪","3566"
"7087","贩卖毒品罪","3567"
"7088","贩卖毒品罪","3568"
"7089","贩卖毒品罪","3569"
"7090","盗窃罪","3569"
"7091","贩卖毒品罪","3570"
"7092","贩卖毒品罪","3571"
"7093","贩卖毒品罪","3572"
"7094","贩卖毒品罪","3573"
"7095","贩卖毒品罪","3574"
"7096","贩卖毒品罪","3575"
"7097","贩卖毒品罪","3576"
"7098","贩卖毒品罪","3577"
"7099","贩卖毒品罪","3578"
"7100","贩卖毒品罪","3579"
"7101","贩卖毒品罪","3580"
"7102","贩卖毒品罪","3581"
"7103","贩卖毒品罪","3582"
"7104","容留他人吸毒罪","3582"
"7105","贩卖毒品罪","3583"
"7106","贩卖毒品罪","3584"
"7107","贩卖毒品罪","3585"
"7108","贩卖毒品罪","3586"
"7109","贩卖毒品罪","3587"
"7110","贩卖毒品罪","3588"
"7111","贩卖毒品罪","3589"
"7112","贩卖毒品罪","3590"
"7113","贩卖毒品罪","3591"
"7114","贩卖毒品罪","3592"
"7115","贩卖毒品罪","3593"
"7116","贩卖毒品罪","3594"
"7117","贩卖毒品罪","3595"
"7118","贩卖毒品罪","3596"
"7119","贩卖毒品罪","3597"
"7120","贩卖毒品罪","3598"
"7121","贩卖毒品罪","3599"
"7122","贩卖毒品罪","3600"
"7123","容留他人吸毒罪","3600"
"7124","贩卖毒品罪","3601"
"7125","贩卖毒品罪","3602"
"7126","贩卖毒品罪","3603"
"7127","贩卖毒品罪","3604"
"7128","贩卖毒品罪","3605"
"7129","贩卖毒品罪","3606"
"7130","贩卖毒品罪","3607"
"7131","贩卖毒品罪","3608"
"7132","贩卖毒品罪","3609"
"7133","贩卖毒品罪","3610"
"7134","聚众斗殴罪","3611"
"7135","贩卖毒品罪","3611"
"7136","盗窃罪","3611"
"7137","贩卖毒品罪","3612"
"7138","贩卖毒品罪","3613"
"7139","贩卖毒品罪","3614"
"7140","贩卖毒品罪","3615"
"7141","贩卖毒品罪","3616"
"7142","贩卖毒品罪","3617"
"7143","贩卖毒品罪","3618"
"7144","贩卖毒品罪","3619"
"7145","贩卖毒品罪","3620"
"7146","贩卖毒品罪","3621"
"7147","贩卖毒品罪","3622"
"7148","贩卖毒品罪","3623"
"7149","贩卖毒品罪","3624"
"7150","贩卖毒品罪","3625"
"7151","贩卖毒品罪","3626"
"7152","贩卖毒品罪","3627"
"7153","贩卖毒品罪","3628"
"7154","贩卖毒品罪","3629"
"7155","贩卖毒品罪","3630"
"7156","贩卖毒品罪","3631"
"7157","贩卖毒品罪","3632"
"7158","贩卖毒品罪","3633"
