"case_id","drug_id"
"3359","14131"
"3359","14132"
"3360","14133"
"3360","14134"
"3360","14135"
"3360","14136"
"3360","14137"
"3360","14138"
"3360","14139"
"3361","14140"
"3361","14141"
"3361","14142"
"3361","14143"
"3361","14144"
"3362","14145"
"3362","14146"
"3363","14147"
"3363","14148"
"3363","14149"
"3364","14150"
"3364","14151"
"3364","14152"
"3365","14153"
"3365","14154"
"3366","14155"
"3366","14156"
"3366","14157"
"3366","14158"
"3367","14159"
"3367","14160"
"3367","14161"
"3367","14162"
"3367","14163"
"3367","14164"
"3367","14165"
"3367","14166"
"3368","14167"
"3368","14168"
"3368","14169"
"3368","14170"
"3369","14171"
"3369","14172"
"3369","14173"
"3369","14174"
"3370","14175"
"3370","14176"
"3370","14177"
"3370","14178"
"3370","14179"
"3370","14180"
"3370","14181"
"3371","14182"
"3371","14183"
"3372","14184"
"3372","14185"
"3372","14186"
"3372","14187"
"3372","14188"
"3372","14189"
"3373","14190"
"3374","14191"
"3374","14192"
"3374","14193"
"3374","14194"
"3375","14195"
"3375","14196"
"3375","14197"
"3376","14198"
"3377","14199"
"3377","14200"
"3377","14201"
"3377","14202"
"3378","14203"
"3379","14204"
"3379","14205"
"3380","14206"
"3380","14207"
"3380","14208"
"3380","14209"
"3381","14210"
"3381","14211"
"3381","14212"
"3381","14213"
"3381","14214"
"3381","14215"
"3382","14216"
"3382","14217"
"3382","14218"
"3382","14219"
"3382","14220"
"3382","14221"
"3382","14222"
"3382","14223"
"3382","14224"
"3382","14225"
"3382","14226"
"3382","14227"
"3382","14228"
"3382","14229"
"3382","14230"
"3382","14231"
"3382","14232"
"3382","14233"
"3382","14234"
"3382","14235"
"3382","14236"
"3382","14237"
"3382","14238"
"3382","14239"
"3382","14240"
"3382","14241"
"3382","14242"
"3382","14243"
"3382","14244"
"3382","14245"
"3382","14246"
"3382","14247"
"3382","14248"
"3382","14249"
"3382","14250"
"3382","14251"
"3382","14252"
"3382","14253"
"3382","14254"
"3382","14255"
"3382","14256"
"3382","14257"
"3382","14258"
"3382","14259"
"3382","14260"
"3382","14261"
"3382","14262"
"3382","14263"
"3382","14264"
"3382","14265"
"3382","14266"
"3382","14267"
"3382","14268"
"3382","14269"
"3382","14270"
"3382","14271"
"3382","14272"
"3382","14273"
"3382","14274"
"3382","14275"
"3382","14276"
"3382","14277"
"3382","14278"
"3382","14279"
"3382","14280"
"3382","14281"
"3382","14282"
"3382","14283"
"3382","14284"
"3382","14285"
"3382","14286"
"3382","14287"
"3382","14288"
"3382","14289"
"3382","14290"
"3382","14291"
"3382","14292"
"3382","14293"
"3382","14294"
"3382","14295"
"3382","14296"
"3382","14297"
"3382","14298"
"3382","14299"
"3382","14300"
"3382","14301"
"3382","14302"
"3382","14303"
"3382","14304"
"3382","14305"
"3382","14306"
"3382","14307"
"3382","14308"
"3382","14309"
"3382","14310"
"3382","14311"
"3382","14312"
"3382","14313"
"3382","14314"
"3382","14315"
"3383","14316"
"3383","14317"
"3384","14318"
"3384","14319"
"3384","14320"
"3384","14321"
"3384","14322"
"3384","14323"
"3385","14324"
"3385","14325"
"3385","14326"
"3386","14327"
"3386","14328"
"3386","14329"
"3386","14330"
"3386","14331"
"3386","14332"
"3386","14333"
"3386","14334"
"3386","14335"
"3386","14336"
"3387","14337"
"3387","14338"
"3387","14339"
"3387","14340"
"3387","14341"
"3388","14342"
"3388","14343"
"3390","14344"
"3390","14345"
"3390","14346"
"3391","14347"
"3391","14348"
"3392","14349"
"3393","14350"
"3393","14351"
"3393","14352"
"3393","14353"
"3393","14354"
"3393","14355"
"3393","14356"
"3393","14357"
"3393","14358"
"3393","14359"
"3394","14360"
"3394","14361"
"3394","14362"
"3394","14363"
"3395","14364"
"3395","14365"
"3395","14366"
"3395","14367"
"3396","14368"
"3396","14369"
"3397","14370"
"3397","14371"
"3398","14372"
"3398","14373"
"3398","14374"
"3398","14375"
"3398","14376"
"3398","14377"
"3398","14378"
"3398","14379"
"3398","14380"
"3398","14381"
"3399","14382"
"3399","14383"
"3399","14384"
"3399","14385"
"3399","14386"
"3399","14387"
"3399","14388"
"3399","14389"
"3399","14390"
"3399","14391"
"3399","14392"
"3399","14393"
"3399","14394"
"3399","14395"
"3399","14396"
"3399","14397"
"3399","14398"
"3399","14399"
"3399","14400"
"3399","14401"
"3399","14402"
"3399","14403"
"3399","14404"
"3399","14405"
"3399","14406"
"3399","14407"
"3399","14408"
"3399","14409"
"3399","14410"
"3399","14411"
"3399","14412"
"3399","14413"
"3399","14414"
"3399","14415"
"3399","14416"
"3399","14417"
"3399","14418"
"3399","14419"
"3399","14420"
"3399","14421"
"3399","14422"
"3399","14423"
"3399","14424"
"3399","14425"
"3399","14426"
"3399","14427"
"3399","14428"
"3399","14429"
"3399","14430"
"3399","14431"
"3399","14432"
"3399","14433"
"3400","14434"
"3400","14435"
"3400","14436"
"3400","14437"
"3400","14438"
"3400","14439"
"3400","14440"
"3400","14441"
"3400","14442"
"3401","14443"
"3401","14444"
"3401","14445"
"3401","14446"
"3402","14447"
"3402","14448"
"3402","14449"
"3402","14450"
"3402","14451"
"3402","14452"
"3403","14453"
"3403","14454"
"3403","14455"
"3404","14456"
"3404","14457"
"3404","14458"
"3404","14459"
"3404","14460"
"3404","14461"
"3404","14462"
"3404","14463"
"3404","14464"
"3404","14465"
"3404","14466"
"3405","14467"
"3405","14468"
"3405","14469"
"3405","14470"
"3405","14471"
"3405","14472"
"3405","14473"
"3405","14474"
"3405","14475"
"3405","14476"
"3405","14477"
"3405","14478"
"3405","14479"
"3406","14480"
"3406","14481"
"3407","14482"
"3407","14483"
"3407","14484"
"3407","14485"
"3408","14486"
"3408","14487"
"3408","14488"
"3408","14489"
"3408","14490"
"3408","14491"
"3408","14492"
"3408","14493"
"3408","14494"
"3408","14495"
